ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
120,244,N,29800,85.17,25.070431600000003,121.3705213,住,11,349.8884583773629,1,"(287379.2377781139, 2773629.945718625)",126.1,False,False,False,True,False,False,False,False
121,231,N,70000,95.8,24.964330399999998,121.54024950000002,住,10,730.6889352818373,3,"(304549.0392009787, 2761935.2875894783)",138.09677419354838,False,False,False,True,False,False,False,False
122,251,N,22000,47.16,25.1891602,121.44240049999999,住,7,466.4970313825276,2,"(294587.5768531863, 2786802.8207072006)",232.5,False,False,False,True,False,False,False,False
123,251,N,27000,58.2,25.186372,121.434547,住,2,463.91752577319596,2,"(293797.0445968726, 2786491.402971991)",0.0,False,False,False,True,False,False,False,False
124,244,N,38000,64.87,25.0753437,121.3705217,住,4,585.7869585324495,1,"(287377.7870699555, 2774174.031588517)",223.96774193548387,False,False,False,True,False,False,False,False
125,244,N,20000,50.78,25.072544399999998,121.36971499999999,住,4,393.8558487593541,1,"(287297.25531401485, 2773863.7460085214)",207.10714285714286,False,False,False,True,False,False,False,False
126,251,N,21000,45.14,25.186372,121.434547,住,10,465.21931767833405,2,"(293797.0445968726, 2786491.402971991)",0.0,False,False,False,True,False,False,False,False
127,251,N,16000,40.17,25.1894602,121.43788980000001,住,11,398.30719442369934,2,"(294132.84967572824, 2786834.5643079984)",318.0,False,False,False,True,False,False,False,False
128,237,N,17000,30.26,24.9260063,121.37166869999999,住,6,561.7977528089888,2,"(287538.84463843965, 2757633.2418274353)",197.0,False,False,False,True,False,False,False,False
129,251,N,18500,34.86,25.1891602,121.44240049999999,住,8,530.6942053930006,2,"(294587.5768531863, 2786802.8207072006)",232.5,False,False,False,True,False,False,False,False
130,241,N,27000,27.86,25.056472199999998,121.4938811,住,3,969.1313711414214,3,"(299829.9440037593, 2772123.506624622)",134.09677419354838,False,False,False,True,True,False,False,False
131,251,N,16000,15.48,25.1504663,121.4595178,套,6,1033.5917312661495,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,True,False,False,False,False,True,False
132,251,N,14000,15.48,25.1504663,121.4595178,套,9,904.3927648578813,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,True,False,False,False,False,True,False
133,237,Y,20000,37.62,24.945926999999998,121.37433689999999,住,1,531.632110579479,2,"(287802.25967855676, 2759840.4455954586)",181.33333333333334,True,False,False,True,False,False,False,False
134,251,N,25000,43.45,25.165969399999998,121.45898159999999,住,5,575.373993095512,1,"(296267.489122594, 2784239.64622994)",0.0,False,False,False,True,False,False,False,False
135,251,N,18000,43.48,25.190319,121.4305111,住,12,413.98344066237365,1,"(293388.8719814534, 2786927.2920244336)",0.0,False,False,False,True,False,False,False,False
136,241,N,27000,27.86,25.056472199999998,121.4938811,住,3,969.1313711414214,3,"(299829.9440037593, 2772123.506624622)",134.09677419354838,False,False,False,True,True,False,False,False
137,251,N,17000,34.86,25.1891602,121.44240049999999,住,8,487.66494549627083,2,"(294587.5768531863, 2786802.8207072006)",232.5,False,False,False,True,False,False,False,False
138,251,N,20000,31.96,25.1614245,121.45306289999999,住,7,625.7822277847309,2,"(295672.5411591221, 2783734.204267147)",198.4,False,False,False,True,False,False,False,False
139,251,N,30000,62.41,25.190135199999997,121.43456880000001,住,6,480.69219676333915,2,"(293797.8962292956, 2786908.247179774)",0.0,False,False,False,True,False,False,False,False
140,251,N,30000,62.41,25.190135199999997,121.43456880000001,住,6,480.69219676333915,2,"(293797.8962292956, 2786908.247179774)",0.0,False,False,False,True,False,False,False,False
141,251,N,24000,52.08,25.165969399999998,121.45898159999999,住,3,460.8294930875576,1,"(296267.489122594, 2784239.64622994)",0.0,False,False,False,True,False,False,False,False
142,251,N,16500,28.88,25.183907,121.4245195,住,11,571.3296398891966,2,"(292787.24361963186, 2786215.139054186)",126.15384615384616,False,False,False,True,False,False,False,False
144,251,N,18000,45.14,25.183907,121.4245195,住,10,398.7594151528578,2,"(292787.24361963186, 2786215.139054186)",126.15384615384616,False,False,False,True,False,False,False,False
146,251,Y,6000,7.0,25.168351,121.47823500000001,住,1,857.1428571428571,1,"(298207.41376181843, 2784510.1987722022)",0.0,True,False,True,True,False,False,False,False
147,251,N,20000,23.57,25.1504663,121.4595178,住,11,848.5362749257532,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,False,False,True,False,False,False,False
148,251,N,60000,78.58,25.1504663,121.4595178,住,2,763.5530669381524,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,False,False,True,False,False,False,False
